x [px],y [px],u [px/frame],v [px/frame],magnitude
20,20,2.095440633,0.4963150603,2.153415911
20,36,3.001525411,1.483437034,3.348095015
20,52,5.22488042,4.054680787,6.613608069
20,68,2.380378572,0.7782083388,2.504358274
20,84,-2.027970509,-4.499093662,4.935028689
20,100,-1.833185289,-2.568648206,3.155712584
20,116,-1.552472653,-0.3323752188,1.587653811
20,132,-1.911219547,2.034683445,2.791540234
20,148,-1.769253005,2.154346727,2.787734926
20,164,-0.3194135505,1.269155614,1.308732589
20,180,0.9267017379,0.7513127745,1.19299916
20,196,-0.122202766,0.9815460887,0.989123976
20,212,-1.849888426,3.042096535,3.560398646
20,228,-2.271267062,1.062235488,2.507388741
20,244,-0.9517172555,-2.200353612,2.397357243
20,260,-0.3367918886,-3.152190538,3.170131537
20,276,-1.636416248,-1.691064829,2.353201732
20,292,-0.7717408766,-4.189003317,4.259499122
20,308,-0.3501704804,-5.649127519,5.659970061
20,324,0.9973603291,-6.611388609,6.686193758
20,340,3.39499793,-4.661836918,5.767038616
20,356,4.978087184,-2.617744551,5.624405617
20,372,6.356863901,-5.829380068,8.625044384
20,388,1.507320574,-4.606342167,4.84668995
20,404,-1.200057106,-3.763470597,3.950170628
20,420,-2.113881051,-2.808425124,3.515073936
20,436,-0.843741291,-2.300217214,2.450081345
20,452,-1.141481226,-3.353364921,3.542320663
20,468,-3.851387184,-2.779132275,4.749395692
20,484,-1.925066723,-1.718915045,2.580804297
20,500,0.3295132071,-0.06631748845,0.336120459
36,20,1.189355856,-0.4908069133,1.28664633
36,36,1.68425518,-0.1006847461,1.687261962
36,52,2.609831217,0.8507386886,2.744990947
36,68,3.944225806,2.779037891,4.824932
36,84,1.740297981,1.078260393,2.047262205
36,100,-1.919112705,-2.874475737,3.45624136
36,116,-0.9130131236,-0.4631608958,1.023772914
36,132,0.6082108165,-0.5008369051,0.787881973
36,148,-1.046436975,0.7421799319,1.282911296
36,164,-0.1156893844,0.9018073408,0.909197731
36,180,3.22172153,0.00323662063,3.221723156
36,196,2.584194243,0.08583396217,2.585619337
36,212,-2.113592202,0.125068607,2.117289341
36,228,-0.8250515849,-0.4632356401,0.946201551
36,244,-0.496007837,-2.575326798,2.62265741
36,260,0.6218159655,-2.809581324,2.87756882
36,276,0.6988016624,-3.688448549,3.754061329
36,292,-0.3286359015,-5.226817604,5.237138897
36,308,-0.6850146529,-6.451514826,6.487779946
36,324,1.407938022,-3.979695687,4.221405836
36,340,4.249908294,-2.63612032,5.001084967
36,356,4.592769745,-1.587956902,4.859541239
36,372,3.783513531,-3.428518736,5.105851091
36,388,-0.6348450735,-4.226175838,4.273592222
36,404,-2.99361084,-3.875644499,4.897175323
36,420,-4.297844756,-2.361587563,4.903933662
36,436,-4.393454504,-2.438401891,5.024763304
36,452,-4.533213015,-3.027711398,5.4513353
36,468,-1.880753731,-2.094641551,2.815094639
36,484,-1.339340712,-1.388921316,1.929491116
36,500,2.584093137,1.586280068,3.03213156
52,20,-0.2116282472,-1.868051054,1.880000334
52,36,-0.06369176236,-2.246107794,2.24701065
52,52,1.266492481,-0.1660642454,1.27733337
52,68,2.370400566,1.503404645,2.806959987
52,84,3.47950026,1.633698004,3.843942147
52,100,3.300912582,2.08398235,3.903716986
52,116,-0.7886779527,1.855044278,2.015738621
52,132,-1.319320928,1.968270633,2.369535186
52,148,-2.909016328,0.4134025647,2.938243978
52,164,-2.318628542,1.592657197,2.812933569
52,180,-1.865955365,0.1343390266,1.870784968
52,196,1.259325041,-0.0007040981899,1.259325238
52,212,2.795010162,0.9078726733,2.938760725
52,228,3.352150645,0.7814342541,3.442027519
52,244,2.943154452,-1.031366936,3.118633657
52,260,2.621261925,-1.822359412,3.192492428
52,276,0.9904260967,-3.986273984,4.107471744
52,292,0.002423189471,-4.624546698,4.624547333
52,308,-0.3475194191,-3.669098994,3.685519933
52,324,1.069498117,-0.2197589922,1.091842588
52,340,2.037549523,-0.6411461257,2.136042231
52,356,4.727020224,-0.1367321175,4.728997343
52,372,1.840190208,-0.8284839429,2.018089603
52,388,-1.585300668,-0.8981610257,1.822051436
52,404,-2.399016084,-1.621366652,2.895532419
52,420,-2.239286669,-1.374843475,2.627660436
52,436,-2.11898823,-0.9687097454,2.329916241
52,452,-3.416771012,-2.019198621,3.968814334
52,468,-2.238077324,-1.72885087,2.828058599
52,484,-1.48884023,-1.082013427,1.8404886
52,500,1.03071097,1.058171564,1.477190632
68,20,-1.760548835,-2.867238456,3.364608233
68,36,-1.756303767,-2.659511854,3.187099971
68,52,0.501713352,-1.175302958,1.277909751
68,68,2.001201281,0.9458885056,2.213484048
68,84,2.679039333,1.946572919,3.311555205
68,100,2.146340433,2.718609013,3.463756952
68,116,0.5306173919,2.954280856,3.001554629
68,132,-2.557782085,1.389989832,2.911068692
68,148,-4.221828959,0.7838794314,4.293984947
