x [px],y [px],u [px/frame],v [px/frame],magnitude
20,20,2.164016615,0.6780160783,2.267746395
20,36,2.850273414,1.183512612,3.086221093
20,52,4.054571958,1.910790202,4.482262036
20,68,5.569488411,1.791438951,5.850508924
20,84,0.7856423936,0.545431156,0.95641472
20,100,-1.444322135,-1.791560306,2.301250695
20,116,-3.752687983,-4.757956705,6.059770549
20,132,-6.161771489,-10.42475879,12.10962525
20,148,-4.333126783,-5.065822707,6.666224375
20,164,-3.717292633,-2.448635586,4.451301018
20,180,0.129632854,1.780658466,1.7853709
20,196,1.293485651,-0.4261102194,1.361864548
20,212,3.854425349,0.3857838973,3.873683517
20,228,4.229095976,-2.467809663,4.896461713
20,244,2.071266843,-0.7910797842,2.217194976
20,260,-1.621594163,-1.565500635,2.253965365
20,276,-5.466441046,-0.9984705195,5.556880518
20,292,-3.009559375,-3.363099934,4.513079746
20,308,1.761195631,-3.324588673,3.762273235
20,324,3.18081256,-2.759869701,4.211228955
20,340,3.518872546,-1.788534067,3.947317837
20,356,2.933855151,-2.956995079,4.165492281
20,372,1.930214617,-3.181905389,3.721592451
20,388,0.2387578299,-2.696672484,2.707221415
20,404,-3.124130919,-2.725662685,4.146013877
20,420,-1.687551208,-2.644296672,3.136898782
20,436,-1.859692495,-2.61516869,3.208981685
20,452,-1.257775982,-1.287224004,1.799707214
20,468,-1.720817473,-0.6906311884,1.854234131
20,484,0.6578521602,-0.2142223602,0.69185308
20,500,1.350628224,2.048985149,2.454085724
36,20,1.477759816,0.1725195445,1.487796043
36,36,2.332231669,0.9617315554,2.52274298
36,52,3.74395405,2.757419044,4.649790502
36,68,2.820468992,1.008060144,2.99520126
36,84,1.692133631,0.9246948428,1.928309305
36,100,-1.365920816,-1.16215537,1.793417068
36,116,-3.651970325,-2.057551016,4.191706507
36,132,-6.000060939,-3.113836238,6.759933978
36,148,-3.120316226,-2.324073745,3.890718715
36,164,-3.05858202,-3.33014928,4.521594652
36,180,-2.487724051,-1.168244026,2.748374985
36,196,1.083224932,-0.1520546315,1.093844991
36,212,5.337064412,1.849198676,5.648344207
36,228,4.196175277,0.01032365833,4.196187976
36,244,1.555188139,-1.706383414,2.308756051
36,260,-1.469608286,-2.9069516,3.257317319
36,276,-0.7445159471,-5.488941929,5.539204591
36,292,0.317336648,-3.777698121,3.79100325
36,308,-1.161611303,-4.375613894,4.527177682
36,324,1.972401668,-2.483993397,3.171843555
36,340,5.219700581,-0.3682172781,5.232672178
36,356,5.150826193,-1.318402357,5.316878337
36,372,1.679015008,-1.604053381,2.322084978
36,388,-2.550168575,0.02337940643,2.550275741
36,404,-2.750093299,-1.743372034,3.256126411
36,420,-4.008621126,-2.310315258,4.626726696
36,436,-4.11682963,-2.261304973,4.696997592
36,452,-3.701608274,-2.44039411,4.433669725
