x [px],y [px],u [px/frame],v [px/frame],magnitude
20,20,4.351137268,2.49844529,5.017432052
20,36,5.064773678,2.286466998,5.556965336
20,52,7.181818437,1.498806031,7.336547934
20,68,3.251745492,2.702007128,4.227847119
20,84,0.5928390651,2.482745219,2.552544217
20,100,-0.1509423476,-0.8464067953,0.859760464
20,116,-1.694187984,-2.362480735,2.907161528
20,132,-3.965797764,-1.342287497,4.186799211
20,148,-5.060372756,1.01674246,5.161505368
20,164,-3.825091341,1.360581641,4.059865289
20,180,0.04828953402,0.5689950028,0.571040447
20,196,-0.5805061576,0.01207211742,0.580631669
20,212,-2.056332556,-0.0803704539,2.057902571
20,228,-2.960314251,0.2781088481,2.973349121
20,244,-0.5594812745,-0.9556130755,1.107346218
20,260,0.6492533259,-1.703463898,1.822997294
20,276,1.478421949,-2.062870974,2.537945648
20,292,0.9870110231,-2.47535629,2.664878894
20,308,0.5834066238,-2.882264728,2.940716452
20,324,0.7881116132,-3.022594355,3.123651157
20,340,1.709052874,-1.882735122,2.542745222
20,356,1.843849284,-1.047550186,2.120646499
20,372,1.292453239,0.1061062733,1.296801417
20,388,1.970779632,-0.5372669863,2.042701195
20,404,-0.09479781756,-2.892094543,2.89364778
20,420,-4.193570343,-2.543461556,4.904613023
20,436,-5.005466637,-3.863196302,6.322893477
20,452,-2.085163331,-3.272676373,3.880504704
20,468,0.2909659788,-1.98239702,2.00363648
20,484,1.912404828,1.374352249,2.355023637
20,500,5.145577653,5.696432728,7.676347778
36,20,3.637500858,2.710423583,4.536276942
36,36,3.661365329,2.862149673,4.647310709
36,52,3.053193177,3.250625293,4.459658437
36,68,1.980578974,4.124470135,4.575363042
36,84,0.8631418878,1.062814013,1.369155778
36,100,0.648521876,-2.659484869,2.73741491
36,116,-0.96582384,-4.898747914,4.993049851
36,132,-5.142832552,-2.681124215,5.799754625
36,148,-5.298873033,-0.04896379638,5.299099251
36,164,-6.077719113,0.2237083687,6.081834842
36,180,-1.236076901,0.2017483893,1.252433039
36,196,-0.3508992589,-0.18496793,0.396665382
36,212,-0.5835649737,-0.4332619296,0.726817706
36,228,1.076910799,-0.2645449075,1.108927805
36,244,0.6326171015,-1.441484176,1.574192182
36,260,1.028819304,-2.091907645,2.331211435
36,276,2.799001497,-2.009792734,3.445820108
36,292,0.899204497,-2.480933169,2.638863035
36,308,-0.02490276484,-3.148843537,3.148942008
36,324,0.07187534197,-4.302783216,4.303383491
36,340,2.495197725,-1.578060825,2.952335966
36,356,2.530041738,-1.36602171,2.87526112
36,372,2.206305339,-3.038767968,3.755248862
36,388,0.6925869304,-2.757188943,2.84284497
36,404,-1.073663631,-2.401733584,2.630794139
36,420,-3.754051984,-2.17351541,4.33786532
36,436,-4.517880803,-2.335415544,5.085805021
36,452,-1.540989333,-3.972435796,4.26085605
36,468,1.045656439,-4.048866935,4.181712669
36,484,0.300670851,0.4090210394,0.50764276
36,500,-0.277914195,3.530055762,3.540978676
52,20,2.899999976,2.770675785,4.010815898
52,36,2.889993605,3.201082818,4.312655127
52,52,3.187205312,4.330139438,5.376651863
52,68,2.314119828,2.424607114,3.35169662
52,84,2.088985492,3.983295188,4.497832916
52,100,0.6445022398,-0.6710343061,0.930413982
52,116,-0.1551708026,-0.9577510502,0.970239688
52,132,-2.506042709,-0.1210611378,2.508965097
52,148,-4.914567709,1.244818202,5.069768054
52,164,-3.620702762,-0.03270851097,3.620850499
52,180,-1.138053145,-0.1123918022,1.143589471
52,196,-0.0495913187,-0.1875362692,0.193982348
52,212,0.2974682921,-0.4863140063,0.5700778
52,228,1.253056,-1.106002235,1.671343855
52,244,1.093565681,-1.253192208,1.663242799
52,260,0.03440529058,-3.212889772,3.213073982
52,276,-1.997393524,-2.940669282,3.55487225
52,292,-2.275080317,-4.227421327,4.800737602
52,308,-1.654097522,-2.929393037,3.364131712
52,324,0.1197305577,-1.281714999,1.287295127
52,340,2.181758507,-0.341193603,2.208276083
52,356,3.574814606,0.2002921382,3.580421261
52,372,1.889785056,-1.049636231,2.161717783
52,388,-0.5104338085,-1.414453588,1.50373589
52,404,-1.706444984,-0.7485021906,1.863386705
52,420,-3.090502598,-0.4845049518,3.128250527
52,436,-3.778748621,-0.9983042764,3.90839514
52,452,-4.139416508,-1.282150989,4.333437456
52,468,-3.583000852,-1.431465774,3.858366153
52,484,-1.477463668,0.7805430814,1.670971691
52,500,-0.7462630417,2.176090402,2.300495157
68,20,2.172505464,2.400520954,3.237635069
68,36,1.811403803,2.841366377,3.369650817
68,52,0.5090714269,0.7387795183,0.897189442
68,68,1.497716706,1.969101064,2.473967326
68,84,1.380850683,2.983370647,3.287438064
68,100,1.947846328,2.098700852,2.863328585
68,116,0.9292470618,2.595569114,2.756896648
68,132,-0.8458795193,1.695282152,1.894595929
68,148,-2.638175419,2.338126151,3.525167151
68,164,-3.037844521,1.208605045,3.2694381
68,180,-2.693605306,0.6594535445,2.773154976
68,196,0.06026804891,0.576283907,0.579426768
68,212,3.937203081,-0.1144051597,3.938864893
68,228,4.245520236,-1.012732628,4.364638525
68,244,1.168992993,-1.714024533,2.074710755
68,260,-1.806980922,-3.042342089,3.538506103
68,276,-4.064474993,-3.594743362,5.426060892
68,292,-3.203804971,-3.612621095,4.82860202
68,308,-1.46268988,-2.80080361,3.159740899
68,324,0.7317190393,-1.622204381,1.779595405
68,340,0.9334757336,-1.31272255,1.610781623
68,356,3.206055878,0.1213624211,3.208352089
68,372,2.288454089,0.05438449157,2.289100214
68,388,-0.1495607832,1.487746157,1.495244815
68,404,-1.779049778,1.68557609,2.450751898
68,420,-3.681245517,1.950468422,4.166040761
68,436,-4.346542048,1.275026925,4.529693305
68,452,-2.98245351,0.7688802412,3.079968468
68,468,-2.949397355,1.404894503,3.266905772
68,484,-1.881261628,1.968526659,2.722910671
68,500,-0.4834112623,2.217672361,2.269748257
84,20,1.806112614,1.589520699,2.405954868
84,36,-1.975630792,-1.517820415,2.491364252
84,52,0.03597697615,-0.719886232,0.720784663
84,68,0.1860587352,-0.7822737087,0.804095771
84,84,0.8549858201,2.235082047,2.393029985
84,100,1.712053651,2.789915106,3.273339885
84,116,1.392198288,3.889638867,4.131283891
84,132,0.4997891771,3.329739462,3.367039368
84,148,-1.923204802,3.293782954,3.814147724
84,164,-2.324720497,2.192689256,3.195655107
84,180,-2.012122249,1.583532642,2.560510022
84,196,-1.326632482,0.2050550924,1.342386432
84,212,1.193364781,0.2653811215,1.222516519
84,228,4.433448929,-0.5526630687,4.467762961
84,244,1.265759172,-2.022160712,2.385640423
84,260,-2.216616079,-2.172989498,3.104073163
84,276,-4.665521877,-2.984869389,5.538640596
84,292,-3.859408602,-2.502153508,4.599544209
84,308,-1.296000052,-2.147255182,2.508051226
84,324,0.02183349734,-1.57049161,1.570643371
84,340,0.2531557221,0.01261343237,0.253469758
84,356,0.6567012905,0.07388971505,0.660845122
84,372,1.106948715,2.055168467,2.334320648
