x [px],y [px],u [px/frame],v [px/frame],magnitude
20,20,-0.6480428747,1.050639323,1.234423977
20,36,-1.42544327,-0.0353929406,1.425882596
20,52,-2.017393736,-1.688814144,2.630963835
20,68,-1.808946993,-0.2631057691,1.827980818
20,84,-0.4257538689,-0.09087236217,0.435343707
20,100,1.71887176,0.245466768,1.736310474
20,116,1.59810346,1.268017062,2.040049494
20,132,1.17968405,3.608688358,3.796615088
20,148,0.3089787144,1.797412525,1.823776201
20,164,0.05091009157,2.176462106,2.177057449
20,180,0.394152821,3.297907573,3.321377848
20,196,2.41587643,2.823643304,3.716102856
20,212,3.265306456,4.10292509,5.243683872
20,228,4.171691903,2.65481297,4.944799818
20,244,0.7020534574,2.066299332,2.182308866
20,260,0.7096577412,1.480578635,1.641866987
20,276,1.353921539,0.9853281299,1.674507407
20,292,-1.132443845,0.2089481607,1.151559115
20,308,-2.542545215,0.9202112781,2.703946184
20,324,-1.931522975,0.7049835232,2.056157283
20,340,-2.141586522,0.7040396235,2.254343501
20,356,-2.603898995,0.6541608929,2.684812182
20,372,-4.694063124,0.219241408,4.699180291
20,388,-3.310173259,-0.3765176037,3.331518049
20,404,0.378840661,-1.481578091,1.529246182
20,420,-1.008974396,-2.616967137,2.80473641
20,436,-0.2326612952,-1.993429467,2.006960966
20,452,1.264665811,-1.057741476,1.648695437
20,468,1.576465565,-0.7409536747,1.741911601
20,484,0.6869902162,-1.110455314,1.305781973
20,500,-0.8799172671,-0.08415335433,0.883932228
36,20,0.1293575208,2.136671587,2.140583761
36,36,-1.6108932,0.5319959989,1.696465928
36,52,-1.848901083,-0.6366365472,1.955438904
36,68,-2.572495337,0.497031082,2.620071021
36,84,-0.69222829,-1.937576214,2.057518309
36,100,0.1074705043,-2.611504614,2.61371503
36,116,-0.1528280779,1.1544632,1.164534972
36,132,0.08667459844,1.194185751,1.197327062
36,148,0.03091282085,0.6422070954,0.642950664
36,164,-0.1944840652,0.3988945959,0.443780295
36,180,-0.2047418931,0.3913493086,0.441671285
36,196,0.4816005683,-1.508316158,1.583337216
36,212,1.461784351,-0.6623058631,1.604824771
36,228,1.733642454,-0.2424647299,1.750515725
36,244,2.499086688,0.7063127587,2.596981322
36,260,2.030662021,1.88644049,2.771686484
36,276,1.924106506,1.612621228,2.510524461
36,292,-1.462184316,0.2888576026,1.490443454
36,308,-2.240419221,2.337673568,3.23793082
36,324,-2.603220774,0.5189232363,2.654437741
36,340,-1.889337598,0.7529744543,2.033855228
36,356,-0.9760473395,1.039201647,1.425695785
36,372,0.2389501993,0.3740488444,0.443857788
36,388,-0.9186805715,-2.115302972,2.306183136
36,404,-0.1213800137,-1.31794453,1.323522154
36,420,-0.4884324494,-1.605613173,1.678260981
36,436,-0.9536753003,-2.305579787,2.495034014
36,452,2.450193161,-0.438841288,2.489182236
36,468,2.77774067,-0.05466423361,2.778278497
36,484,1.36442235,-2.506258913,2.853591086
36,500,-2.44682475,0.9421486053,2.621944956
52,20,-2.781969699,0.7456940666,2.880176218
52,36,-3.011248531,1.965639769,3.596019663
52,52,-1.730817038,1.932514551,2.594289905
52,68,-1.150888843,-0.04505774062,1.151770519
52,84,-1.036098519,-0.7943977045,1.305590998
52,100,-1.080550067,-0.3341335594,1.131032132
52,116,-0.6868157804,0.1389691869,0.700734152
52,132,-0.2065140779,-0.05886445459,0.214739583
52,148,0.1828655055,0.1162763998,0.216702548
52,164,-0.01469951719,-0.5929572591,0.593139433
52,180,-0.06357810289,-0.7951646986,0.797702371
52,196,0.2285551789,-0.2792842325,0.360883849
52,212,1.676162146,-0.2511763542,1.694877311
52,228,2.68893781,0.3184975399,2.707734704
52,244,3.306030998,0.6203840797,3.363735627
52,260,2.973770518,1.622950557,3.387813396
52,276,2.11744661,1.976644704,2.896671268
52,292,-1.294731985,2.629724474,2.93117412
52,308,-2.664234419,2.562288884,3.69641304
52,324,-2.753091215,1.760157219,3.267669609
52,340,-1.341680161,2.738512316,3.049517234
52,356,-0.8268878991,1.788751342,1.970628063
52,372,1.415447828,-0.05873005343,1.416665724
52,388,0.5320642019,-0.505643547,0.734007978
52,404,-0.4695042073,-1.190481767,1.279719125
52,420,-0.7508064626,-0.6894376994,1.019330509
52,436,-0.2806525685,-1.225045949,1.256782973
52,452,1.761233309,-0.7551096472,1.916281124
52,468,1.367097647,-0.2763576151,1.394750697
52,484,1.106388748,0.2194688215,1.127946198
52,500,-3.243498778,1.299937006,3.49429829
68,20,-3.258456071,1.156799316,3.457704531
68,36,-2.768282581,1.642569758,3.218916566
68,52,-1.143260132,2.945948702,3.160009096
68,68,-0.4208111774,0.01035754328,0.420938625
68,84,-0.3439863141,-0.6929787065,0.773657593
68,100,-0.6431684265,-0.4947852996,0.811466646
68,116,-0.510827547,-0.298260316,0.591526837
68,132,0.01064740975,-0.06251943379,0.06341961
68,148,0.4066440948,0.5329217979,0.670346972
68,164,0.2422340676,0.3360313617,0.414239568
68,180,-0.4091015607,0.0637479712,0.414038514
68,196,-0.4903810836,-0.04688212297,0.492617032
68,212,0.2885639159,0.01311335514,0.288861721
68,228,1.433350284,0.3197006028,1.468571249
68,244,2.266871422,0.7331236511,2.382472735
68,260,2.83323234,1.30423337,3.119011089
68,276,1.835503624,2.049754185,2.751466113
68,292,-0.9871036483,2.994956895,3.153433116
68,308,-0.9810660146,2.947879595,3.106844803
68,324,-1.596812241,2.967825803,3.370133429
68,340,-1.347711967,2.869968312,3.170653822
68,356,1.305346623,0.1150435229,1.310406356
68,372,1.988509396,-0.6337161754,2.087047151
68,388,0.8776595562,-0.808787005,1.193491816
68,404,0.08382528987,-1.345016505,1.34762609
68,420,-0.08163455515,-1.252525236,1.255182723
68,436,0.9254580112,-0.6292632943,1.119126813
68,452,2.190338502,-0.4699485066,2.240186232
68,468,-0.466451987,-0.04783704859,0.468898538
68,484,-1.377516439,1.122515819,1.776961818
68,500,-3.929754931,1.583656017,4.236854989
84,20,-3.27679099,1.038289475,3.437354248
84,36,-2.398902135,2.315704502,3.33424936
84,52,-0.8935293051,3.76999078,3.874432229
84,68,-0.7589234177,2.565406904,2.67530883
84,84,-0.4550874237,2.957331084,2.992141658
84,100,-0.3890056585,3.735537987,3.755738204
84,116,-0.1483414588,0.1006060802,0.179239426
84,132,0.01634352686,0.229679264,0.230260016
84,148,1.730666356,2.143005468,2.7545741
84,164,0.1307443692,0.7394162486,0.750886462
84,180,-0.4519233062,0.5289187258,0.695693678
84,196,-0.6996526233,0.1607529327,0.71788251
84,212,-0.3106181844,0.1229378996,0.334061946
84,228,0.8478343931,0.5594642573,1.015787091
84,244,1.671072964,0.895448928,1.895867515
84,260,1.957335994,1.405116195,2.409463782
84,276,1.266947618,1.940143645,2.317177945
84,292,-0.04044793016,1.987597377,1.988008895
84,308,-0.4887799423,1.888121597,1.950361248
84,324,-1.00750546,2.149217815,2.373647924
84,340,-0.8533796613,1.893362867,2.076795559
84,356,1.542305894,-0.1060110395,1.545944957
84,372,1.802599034,-1.3827129,2.271840276
84,388,1.086368242,-1.733903862,2.046122812
84,404,0.7575484066,-2.069526466,2.203819272
84,420,1.107095884,-2.759225306,2.973043152
84,436,0.8161706505,-2.719787478,2.839608856
84,452,-1.946032891,-1.559820385,2.494009552
84,468,-3.254158285,-0.3097539585,3.268867336
84,484,-3.49424118,0.7609354632,3.576135373
84,500,-2.275839875,0.5833626707,2.349416766
100,20,-3.868043573,0.408003254,3.889502248
100,36,-2.108803018,2.55735224,3.314679569
100,52,-0.0975379695,3.531090056,3.532436926
100,68,0.4810566715,2.984674557,3.023193301
100,84,0.2621884341,0.7760784907,0.819170677
100,100,-0.3662651043,2.952391562,2.975023708
100,116,-0.2837034654,4.116730457,4.126494555
100,132,0.5579250103,0.4511517699,0.717508353
100,148,0.5790500876,2.621487365,2.684677822
100,164,-0.1738339625,1.701973624,1.710828005
100,180,-1.892091611,0.772867291,2.04385286
100,196,-0.5345509412,0.6551049631,0.845521863
100,212,-0.2879683345,0.1902031599,0.34511303
100,228,0.1433000587,0.6968477753,0.711429356
100,244,0.8663424927,1.884402083,2.074010734
100,260,1.211528721,3.034054713,3.267000129
100,276,0.9376815209,1.878763173,2.099761342
100,292,0.1277107222,1.57749232,1.582653483
100,308,-0.1642149106,1.100055973,1.112245333
100,324,-0.7543025361,0.7408073982,1.057245438
100,340,0.9620555736,0.8294861707,1.270274866
100,356,2.058609608,-0.564351319,2.134564576
100,372,1.534001791,-1.002306614,1.832424635
100,388,1.420754625,-2.412195279,2.799505272
100,404,1.185324986,-2.774675261,3.017253408
100,420,0.9551139668,-2.04929842,2.260943764
100,436,-0.3506026176,-1.749782351,1.784561703
100,452,-2.31296432,-0.4374697167,2.353971898
100,468,-3.213558482,1.421341648,3.513854038
100,484,-3.299301168,1.403461963,3.585400072
100,500,-2.411622508,0.589350227,2.482590746
116,20,-3.822550832,0.3646464479,3.839903891
116,36,-2.010231339,0.8717973356,2.191132271
116,52,-0.02909525146,2.689689261,2.689846623
116,68,1.652264116,1.966863346,2.568760038
116,84,0.4605457417,1.870171659,1.926043721
116,100,-0.4208956238,1.695614694,1.747072499
116,116,0.6414046667,1.400305902,1.540213156
116,132,1.641640509,1.083017922,1.966700633
116,148,1.575940307,3.408155459,3.754878358
116,164,1.126827881,3.286941004,3.47472621
116,180,0.5988959505,2.528623791,2.59857935
116,196,-0.5046421767,1.793968719,1.863595313
116,212,-0.5094736982,0.6299133201,0.810156923
116,228,-0.3799020509,1.076910108,1.14195488
116,244,0.408746605,2.486409038,2.519782469
116,260,0.9141516648,3.514336363,3.631285356
116,276,1.253264367,1.85169577,2.235944722
116,292,0.9822604013,1.454126525,1.754798976
116,308,-0.01318253395,1.170850266,1.170924474
116,324,-0.403811788,-0.1627592419,0.435378606
116,340,0.9600114086,-0.7121620799,1.195322857
116,356,3.606960793,-1.342663819,3.848754642
116,372,2.155096157,-0.5877196782,2.233798081
116,388,1.9824199,-1.457106643,2.460314701
116,404,1.418600031,-1.876314869,2.352229482
116,420,0.9168147813,-1.658236966,1.894808481
116,436,-1.285210401,-0.02453683438,1.285444604
116,452,-2.81533023,0.3113982803,2.83249946
116,468,-3.803960968,1.073294135,3.952477621
116,484,-2.836393494,0.5817494518,2.895437873
116,500,-2.727660777,0.2832160281,2.742324677
132,20,-3.163562442,-0.4906530988,3.201385292
132,36,-1.563105919,0.351709029,1.602185805
132,52,0.149807755,1.431620932,1.439437688
132,68,1.338759714,1.438204249,1.964868706
132,84,0.4444577243,1.725230009,1.781561465
132,100,0.005163360366,1.111981379,1.111993367
132,116,0.4273497751,0.873702819,0.972617317
132,132,1.213461173,0.8709257145,1.493653112
132,148,2.482786107,0.8682342124,2.630220048
132,164,1.964078312,2.906381026,3.507799066
132,180,1.00742035,1.818323308,2.078748521
132,196,-1.249049511,2.644866011,2.924968529
132,212,-1.267326527,2.509085017,2.810982773
132,228,-0.7874737806,1.570090521,1.756501978
132,244,0.5923614662,1.470179179,1.585029629
132,260,0.8612596858,1.406585752,1.649318564
132,276,1.190532075,1.257349983,1.73155872
132,292,0.7237764346,0.8695508928,1.13135807
132,308,0.3309825864,0.8173285322,0.88180236
132,324,0.3574286465,-0.2221731117,0.420851671
132,340,1.095548212,-1.367058329,1.751877381
132,356,1.88187457,-0.4933630625,1.94547141
132,372,2.71497832,-0.6441206556,2.790340248
132,388,2.319334905,-0.3511465153,2.345766032
132,404,1.435558815,0.08392171317,1.438009724
132,420,-0.9155941335,1.593108949,1.837473467
132,436,-1.695647267,1.883774351,2.534526674
132,452,-2.637795246,1.385037162,2.979310608
132,468,-4.138744554,1.027328886,4.264341816
132,484,-2.756125157,-0.2358624081,2.766199009
132,500,-2.639789589,-0.9029711158,2.789954464
148,20,-4.267602849,0.7696764826,4.336454308
148,36,-1.794428832,0.8233922489,1.974322575
148,52,0.715802584,0.1352075022,0.728460299
148,68,1.609912423,0.1763053163,1.619537457
148,84,1.547880501,0.4159589112,1.602796263
148,100,0.1854255219,0.1724682982,0.253234946
148,116,0.9492781769,-0.3517757074,1.012361203
148,132,1.777580965,0.05881401281,1.778553675
148,148,3.433777587,-1.04057984,3.587984799
148,164,4.368197646,-0.3502054225,4.382213426
148,180,0.5365696771,-0.237067445,0.586607187
148,196,-0.8631772891,0.5128198113,1.004021509
148,212,-1.363036883,1.578813006,2.085790031
148,228,-0.4738063539,1.045435213,1.147792336
148,244,0.6191175441,0.4383270015,0.758575701
148,260,3.019882415,-0.9530006829,3.166685981
148,276,3.719088321,0.009102344662,3.71909946
148,292,0.8669250921,-0.3717266065,0.94326019
148,308,0.7856991482,-0.5841471367,0.979056193
148,324,1.196012032,-2.387583243,2.670392953
148,340,1.338158083,-2.50103963,2.836523627
148,356,2.291314569,-1.000365883,2.500170865
148,372,2.422161315,-0.4071080431,2.456135663
148,388,2.122151616,-0.5819917025,2.200509446
