x [px],y [px],u [px/frame],v [px/frame],magnitude
20,20,0.1706882539,2.67937463,2.684805931
20,36,1.613331179,4.258865276,4.554203655
20,52,-1.070516825,2.304745199,2.541231336
20,68,-1.859908828,0.6479896851,1.969556163
20,84,-1.414267696,-0.006443108645,1.414282373
20,100,0.2539094086,-0.1837353569,0.313414532
20,116,1.951213795,-0.5351883963,2.023279984
20,132,3.097356496,-1.838723337,3.602016209
20,148,1.112218366,-1.047398509,1.527767433
20,164,1.170207925,-0.5332222439,1.285967554
20,180,0.8014466732,-0.01200065365,0.801536515
20,196,1.229612778,-0.006248335151,1.229628654
20,212,-0.4066966037,0.1966304344,0.451736267
20,228,-1.326940087,0.699722276,1.500127081
20,244,-1.152421559,0.7844922195,1.394095941
20,260,0.348295967,0.4297694978,0.553183425
20,276,0.8133035403,-0.6765739592,1.057929568
20,292,-1.666150208,-0.4741170249,1.732294279
20,308,0.7828606575,-0.6818424173,1.038161785
20,324,1.626048611,1.43418083,2.168157914
20,340,2.328386078,3.523810574,4.223579369
20,356,1.969241953,2.439245544,3.134937431
20,372,0.8076683595,1.389338462,1.607043727
20,388,-0.02899207132,1.313544016,1.313863928
20,404,2.016230999,1.769181793,2.682385442
20,420,2.959458163,2.440455716,3.835911459
20,436,0.8674756152,2.49477605,2.641291631
20,452,0.7131107004,1.706338211,1.849355823
20,468,0.1857053086,0.4150189907,0.454672656
20,484,0.020904038,-1.344454485,1.344616987
20,500,-3.84401105,0.9659278875,3.963513295
36,20,-1.271954672,1.099883984,1.681550911
36,36,-1.212841963,1.933558576,2.282462353
36,52,-1.085219932,1.842264001,2.138139133
36,68,-1.10026359,0.890347992,1.415379636
36,84,-0.6097554371,0.5846622415,0.844767204
36,100,0.9103043267,0.6591365333,1.123883863
36,116,2.5082378,0.1102981755,2.510661775
36,132,2.520136842,-0.405135346,2.552493751
36,148,1.943658084,-0.04747234634,1.944237735
36,164,-0.1976839715,0.3804707242,0.428762084
36,180,-0.2856432765,0.3642324144,0.462879394
36,196,-0.2515957787,0.3769330931,0.453187591
36,212,-0.7176016279,0.4777400227,0.862083306
36,228,-1.687120788,1.068289487,1.996902346
36,244,-1.198514512,0.7874037629,1.434029889
36,260,-0.1761339662,0.4161318536,0.451872652
36,276,0.1371533655,-0.3296386216,0.357033145
36,292,-0.124098188,-0.1231021078,0.174798425
36,308,0.03849828993,0.4147246559,0.416507693
36,324,0.998687207,0.9479906681,1.376975833
36,340,1.296863591,1.339743576,1.864609349
36,356,1.064192838,0.8218561945,1.3446018
36,372,0.4827551965,0.4152258263,0.636761389
36,388,1.752501225,0.8385413046,1.942784616
36,404,1.898658553,1.14351566,2.216423327
36,420,-0.2088552251,2.619727506,2.628039709
36,436,-1.070142018,3.337534225,3.504902087
36,452,1.086151177,2.209219592,2.461783009
36,468,-0.1768988125,0.8831732457,0.900715367
36,484,-1.178468301,1.261915393,1.726620397
36,500,-2.338027133,2.594139211,3.492267046
52,20,-2.232301113,-1.278824335,2.572656203
52,36,-2.408307101,-0.3756704338,2.437431305
52,52,-0.8640591214,1.322799977,1.57999935
52,68,-0.6330817021,1.065912886,1.239743006
52,84,-0.1050800984,0.9629192394,0.968635787
52,100,0.779624296,1.025370846,1.288099148
52,116,1.726416323,0.5926800226,1.825317213
52,132,1.852711068,0.9908465976,2.101027197
52,148,1.011436214,0.9209550995,1.367904057
52,164,0.06729544098,1.1898199,1.191721474
52,180,0.1096886429,1.199766544,1.204770251
52,196,-0.1592454769,0.8251750032,0.840400445
52,212,-0.5987578092,0.3256139492,0.681568308
52,228,-2.126091646,0.5759461524,2.202720967
52,244,-2.238963474,0.8802165888,2.405771951
52,260,-0.4947173119,0.618613206,0.792103224
52,276,-0.7606497924,0.3265375883,0.827777085
52,292,-0.9611083992,0.2133074582,0.984494503
52,308,-0.5411192291,0.2810663386,0.60976086
52,324,0.2936511521,0.4108875404,0.505034227
52,340,1.072162898,0.630792957,1.243958614
52,356,1.117631016,0.2216595677,1.139399865
52,372,-0.2328030865,0.462502065,0.517788989
52,388,0.5586507657,0.3922764287,0.682621033
52,404,1.096368509,0.4611800848,1.189416234
52,420,0.8531799787,1.618061004,1.829217726
52,436,0.5959050159,2.503670971,2.573610522
52,452,0.582357926,2.591933749,2.656550642
52,468,0.5202494114,2.058255147,2.122986976
52,484,0.08105989589,1.972367707,1.974032694
52,500,-0.7688774662,2.126383435,2.261123409
68,20,-2.171586516,-0.9335203605,2.363736081
68,36,-1.475616165,-0.6942596718,1.63077882
68,52,-1.027343102,-0.3409929731,1.082455568
68,68,-0.6439947806,0.3174774327,0.717998049
68,84,-0.08940326913,0.7705860142,0.775754955
68,100,1.054590204,1.150906451,1.561008058
68,116,1.901403264,1.217257778,2.257664915
68,132,1.9046832,2.439597352,3.095069197
68,148,1.30392747,0.8438042658,1.553136339
68,164,0.6633603239,1.496030997,1.636507153
68,180,-0.139921828,1.125114839,1.133781954
68,196,-0.2557356664,0.6780085394,0.724635295
68,212,-0.4614823194,0.206981874,0.505774087
68,228,-1.789832392,0.2990702889,1.814646806
68,244,-0.7396517677,0.5841006402,0.94247456
68,260,-0.6309158625,0.4784221976,0.791797086
68,276,-0.8794839316,-0.2150716033,0.905399238
68,292,-1.700505107,-0.1323906969,1.705650877
68,308,-1.494505883,-0.7908963057,1.690876932
68,324,-0.6207786086,-0.3619189166,0.718575941
68,340,0.3743126419,-0.3129282232,0.487887309
68,356,0.5007399256,-0.1459104595,0.521565274
68,372,-0.3453863598,0.176381333,0.387817112
68,388,-0.05436846073,-0.2460490871,0.251984291
68,404,0.3324603854,0.02375124848,0.33330771
68,420,0.8279450426,0.6202917092,1.034531197
68,436,1.046393155,1.489822841,1.820579779
68,452,0.7917526741,1.870261822,2.030948443
68,468,0.4812254146,2.585487292,2.629890195
68,484,0.2348484667,2.533372897,2.544235059
68,500,0.3340034743,2.07135626,2.098112265
84,20,-2.373561748,-0.0359773221,2.373834396
84,36,-1.958073228,-0.0955410089,1.960402727
84,52,-1.471048816,-0.1727922604,1.481162309
84,68,-0.91339449,-0.1713145316,0.929321345
84,84,-0.3816439431,-0.2142716619,0.437680756
84,100,0.2993020828,0.4216565855,0.517084145
84,116,2.069351149,2.219805942,3.03475742
84,132,2.26951375,2.409673533,3.310169059
84,148,2.485034105,2.005729383,3.193484752
84,164,1.913749715,2.224625091,2.934517808
84,180,0.3712736118,1.192516831,1.248975775
84,196,-0.02365480241,0.5358485131,0.536370375
84,212,-0.4642452688,0.286540161,0.545553786
84,228,-1.122648898,0.3839130429,1.186477885
84,244,-0.6554112854,0.2384401974,0.697436507
84,260,-0.4417430724,0.03389639132,0.443041654
84,276,-0.4538806466,-0.7801997577,0.902618027
84,292,-0.7444372972,-1.929334404,2.067974403
84,308,-1.802556146,-2.023658944,2.710056121
84,324,-1.600902539,-1.5193686,2.207118004
84,340,-0.3924979269,-0.9110954468,0.992043112
84,356,0.2994753609,-0.7312594083,0.790206184
84,372,0.2536497661,-0.5119561929,0.571346959
84,388,0.1043061662,-0.8254819131,0.832045771
84,404,-0.1608795864,-0.7287179017,0.746265383
84,420,0.0461547841,0.0592237596,0.075084737
84,436,0.00671064993,1.74166667,1.741679598
84,452,0.09238626397,2.104403082,2.106430049
84,468,0.3555405622,2.410944843,2.437019517
84,484,0.5880190093,2.297723835,2.371771738
84,500,0.3540156817,0.8476753587,0.918629749
100,20,-1.841541694,0.8228767082,2.017027984
100,36,-1.716567184,0.7016182002,1.854419315
100,52,-1.468111195,0.2585397976,1.490702287
100,68,-0.8117732365,-0.3645315367,0.889864613
100,84,-0.5902274875,-0.6684129323,0.89170866
100,100,-0.1131732328,-0.0858523473,0.142052125
100,116,0.474669094,0.2487973526,0.535920583
100,132,1.710976591,1.845096819,2.516311421
100,148,2.305696655,1.423680279,2.709815972
100,164,1.531882086,1.838899475,2.393368756
100,180,0.9483092592,2.042271731,2.251702528
100,196,0.3349834865,1.376670043,1.416839562
100,212,-0.5845256198,0.608112932,0.843487723
100,228,-1.243695905,0.1975613514,1.259289479
100,244,-0.3797082319,-0.09023345822,0.390282485
100,260,-0.0479496696,-0.4551511549,0.457669908
100,276,-0.05771780308,-0.7253850719,0.727677708
100,292,-0.9428701294,-1.910266988,2.130287315
100,308,-2.233448664,-1.878304331,2.918273478
100,324,-1.844487178,-1.533071604,2.398424794
100,340,-1.014105042,-0.8739728987,1.338744809
100,356,0.3594553372,-0.6551465807,0.747278517
100,372,0.5450030607,-0.671239668,0.864633465
100,388,0.2339434812,-0.962169472,0.99020182
100,404,-1.61423779,-0.5311548725,1.699379046
100,420,-2.168482637,-0.07220361213,2.16968438
100,436,-1.996471913,0.7605250707,2.136421888
100,452,-0.457216639,1.521731429,1.588934737
100,468,0.225852502,1.932219077,1.945373978
100,484,0.5629141406,1.674526,1.76660965
100,500,0.3624643632,0.4924574761,0.611469362
116,20,-1.136636796,0.9592138853,1.487290988
116,36,-1.392368825,0.99219233,1.709718271
116,52,-1.191841223,0.5684406866,1.320458373
116,68,-0.6267482344,-0.2085799477,0.66054443
116,84,-0.2663383219,-0.6132449089,0.668584639
116,100,-0.1143808794,-0.5691090842,0.580489565
116,116,0.07917394005,-0.3149136233,0.324713879
116,132,0.2871965503,-0.1669523383,0.332197143
116,148,0.8747827533,-0.007005346664,0.874810803
116,164,1.733232266,1.233652699,2.127438147
116,180,1.275151788,2.509976285,2.81531402
116,196,0.5727402766,1.727199,1.819683437
116,212,-0.2562190836,0.838000014,0.876294609
116,228,-0.565867922,0.2722938452,0.627973282
116,244,-0.01153289792,-0.3961127359,0.396280592
116,260,0.3993531203,-0.9433465119,1.024395215
116,276,0.8792535423,-0.7305439415,1.143145329
116,292,-0.2528163385,-0.8397989938,0.877028193
116,308,-1.995419029,-0.771649423,2.139425141
116,324,-2.22321572,-0.9858087947,2.43197597
116,340,-1.401940404,-0.7095013063,1.571250776
116,356,0.3116742904,-0.3902996016,0.499474366
116,372,0.8125772154,-0.7683085778,1.118293254
116,388,0.1688927315,-0.8754057376,0.891549191
116,404,-1.852871029,-0.7827203409,2.011412982
116,420,-2.765636026,-0.02826197296,2.765780426
116,436,-2.575677635,0.8819680582,2.722495718
116,452,-0.9682800282,1.147790141,1.501661886
116,468,0.1556848961,1.291236726,1.300588355
116,484,0.6160744335,0.8607953271,1.058544426
116,500,0.08835236546,-0.07468384668,0.11568845
132,20,-1.011751733,-0.561901801,1.157313788
132,36,-1.351558515,0.3503211036,1.396221793
132,52,-1.23943013,0.4628420257,1.323030532
132,68,-0.02496824429,0.1647267566,0.166608276
