x [px],y [px],u [px/frame],v [px/frame],magnitude
20,20,0.4768160533,4.817136689,4.84067758
20,36,0.6585738828,4.599888268,4.646793694
20,52,0.3127029952,2.092526926,2.11576277
20,68,-0.3839269228,-1.245075499,1.302924741
20,84,-0.6319187632,-5.426420959,5.463091226
20,100,-0.3854854089,-1.719626561,1.762303751
20,116,-0.2342859654,-0.0465389046,0.238863524
20,132,-0.03698725374,1.236556298,1.237109346
20,148,-0.10084018,2.292054985,2.294272171
20,164,0.3431728805,2.243871118,2.269961502
20,180,2.65713864,1.934996859,3.287034925
20,196,2.243984346,0.03694202333,2.244288408
20,212,0.7344138085,0.2926236977,0.790564527
20,228,1.832674448,1.189677806,2.184955129
20,244,0.7738066936,1.795627756,1.955263623
20,260,1.116452028,1.429565388,1.813869436
20,276,-0.2322140829,0.3753623987,0.441384538
20,292,-2.223022521,-1.636552473,2.760458861
20,308,-2.601235259,-0.9192044702,2.758869647
20,324,-1.716533339,-0.8262052622,1.905020168
20,340,-0.400790536,-0.6603879371,0.7724929
20,356,1.525552427,-0.6723570934,1.667145545
20,372,4.325188473,-0.1365630823,4.327343851
20,388,-2.022141361,-2.09777726,2.913713287
20,404,-2.557142476,-2.170478264,3.35409504
20,420,-1.868850676,-1.978689694,2.721730287
20,436,-1.655531068,-4.656560114,4.94209826
20,452,0.6487000111,-1.241059996,1.400371957
20,468,0.676467981,2.891374426,2.969453654
20,484,1.241359152,2.16728427,2.497617595
20,500,2.017937124,-2.697607091,3.368850583
36,20,0.2950582237,5.03438511,5.043024171
36,36,1.1862026,6.890001188,6.991365602
36,52,0.6634620256,2.922768009,2.997124404
36,68,-0.8325650004,-0.4013324644,0.924246843
36,84,-1.733714299,-3.102149676,3.553744206
36,100,-0.2902514979,0.3140801792,0.427659083
36,116,-0.2803852337,0.3434535491,0.443369169
36,132,0.2241643842,1.464152815,1.4812134
36,148,-0.6087061667,3.395737538,3.449863276
36,164,-1.526779818,2.50456151,2.933237967
36,180,1.010207724,0.9621502903,1.395081656
36,196,1.823869677,-1.049446258,2.104242868
36,212,2.289397153,-0.4350996252,2.330375722
36,228,3.049148722,0.0417501086,3.049434538
36,244,3.275885332,0.499330299,3.313722296
36,260,2.482750587,0.562519432,2.545678414
36,276,1.555866101,-0.4378084312,1.616290675
36,292,-1.832742601,-1.779857601,2.554767802
36,308,-3.864149918,-0.2948556751,3.875383137
36,324,-2.147574221,-0.8990233794,2.328157656
36,340,-1.011390696,-0.4826014556,1.120631654
36,356,0.8588108542,-0.1714769689,0.875762773
36,372,2.371872412,-0.923197591,2.545205793
36,388,1.954956236,-0.360613196,1.987937565
36,404,-0.08855103092,-0.1354965997,0.161866036
36,420,-1.083185956,-2.049213117,2.317879681
36,436,-0.7705746709,-2.880307633,2.981603157
