x [px],y [px],u [px/frame],v [px/frame],magnitude
20,20,-0.5679051272,-0.7580801825,0.947207367
20,36,0.2113820679,1.810500654,1.822798671
20,52,0.4471238156,2.403498925,2.444734503
20,68,-0.1197806834,2.095452578,2.09887325
20,84,-0.978980308,0.4465712669,1.076024321
20,100,-0.3037388107,-0.6847174967,0.749062958
20,116,1.59267051,-0.3878977214,1.639226646
20,132,1.397255903,-0.8211551033,1.620684967
20,148,1.024663786,-0.2465906076,1.053917835
20,164,1.202037362,-0.528957802,1.3132746
20,180,2.569417158,2.94524264,3.908498272
20,196,1.9343418,1.6412662,2.536815511
20,212,-0.5477265926,1.041136753,1.176422611
20,228,-1.189582236,0.111462334,1.194792764
20,244,0.9545942508,-1.479678198,1.760879824
20,260,1.891172459,0.7247865016,2.025302136
20,276,1.283335303,0.4848352611,1.37186542
20,292,1.169738221,0.5219337925,1.280899055
20,308,1.303226818,1.343867701,1.871999075
20,324,2.548571756,3.100948552,4.013863465
20,340,3.804937749,4.019781119,5.534996975
20,356,2.588398556,2.151403677,3.365760667
20,372,0.4736328459,1.462051571,1.536854863
20,388,-0.2275735678,1.169835728,1.191765648
20,404,0.5867773025,1.508779119,1.618864427
20,420,0.4232848949,2.819655394,2.851250014
20,436,-1.499820001,5.11743651,5.332693172
20,452,-1.991837712,2.061863608,2.866827342
20,468,-4.124915673,-1.224663134,4.302874516
20,484,-1.079802251,-1.968310966,2.245043643
20,500,-3.889662755,2.653637421,4.708637585
36,20,-0.5132643207,-0.2084647298,0.55398358
36,36,-1.046149941,0.7234346642,1.271922723
36,52,-1.296044771,1.45856692,1.951191817
36,68,-0.3758525937,1.823955367,1.862277733
36,84,-0.5442787827,0.7261536468,0.907490227
36,100,0.2970156235,0.09830878387,0.312862426
36,116,0.4933058033,-1.683229032,1.754026964
36,132,1.574433414,-1.828976981,2.413295956
36,148,0.4746980912,0.6103410825,0.773210524
36,164,-0.3071499342,-1.545310918,1.575540198
36,180,0.914306502,0.9462993916,1.315841525
36,196,0.4927601682,0.7582304937,0.904282072
36,212,-0.5201527824,0.4603428647,0.694603822
36,228,-0.863880744,0.3641873145,0.937508581
36,244,0.2941156874,-0.4643123662,0.549627156
36,260,1.759396026,-0.331191046,1.790296591
36,276,2.703833021,-0.5512606006,2.759456696
36,292,0.4109028171,0.5346165961,0.674281862
36,308,0.1913704756,0.4087207585,0.451304019
36,324,1.32805948,1.534176502,2.029147486
36,340,1.783742988,1.74404399,2.494680037
36,356,1.282063899,1.169773454,1.735528097
36,372,0.03877722462,0.6686531777,0.669776638
36,388,-0.151551657,0.5187002255,0.54038674
36,404,1.282010999,1.262628131,1.799383783
36,420,0.2134078581,3.16640752,3.173590947
36,436,-0.693083803,3.472395075,3.54088869
36,452,-0.3507774613,2.292817448,2.319494919
36,468,-0.7988540674,1.125957742,1.380560994
36,484,-1.022058377,0.7122165699,1.245735031
36,500,-3.090640768,1.253704266,3.335241332
52,20,-1.136097346,-0.5561402922,1.264914702
52,36,-1.366620726,0.3368113289,1.407513439
52,52,-1.253859083,1.122079308,1.682624311
52,68,-0.7649236396,1.539711493,1.719249736
52,84,-0.1916942856,0.9055600707,0.925627215
52,100,0.8871945153,0.6284189037,1.087209468
52,116,2.076775877,-0.006472609091,2.076785963
52,132,3.248471829,0.7907457661,3.343328894
52,148,1.684212286,-0.4738471359,1.749600564
52,164,0.3274796696,0.9501980472,1.005046896
52,180,0.3998949749,0.6972614196,0.803796914
52,196,0.2679890667,0.512195867,0.578068115
52,212,-0.1730962664,-0.09725845186,0.198548543
52,228,-1.608541758,0.3171196791,1.639503424
52,244,-1.171408572,0.4427853715,1.252300654
52,260,-0.1912296589,0.2826798273,0.341286781
52,276,0.057212018,0.09281333442,0.10902995
