x [px],y [px],u [px/frame],v [px/frame],magnitude
20,20,0.6759605514,0.1420152126,0.690717734
20,36,0.6799324751,0.1948748261,0.707307832
20,52,0.5436820621,0.1153350106,0.555780846
20,68,-0.2489045056,-0.7056158827,0.748229395
20,84,0.0366461893,-0.1549647937,0.15923891
20,100,-2.980560782,-2.420828957,3.839811898
20,116,-5.761289474,-4.56375775,7.349853142
20,132,-4.486308178,-4.127399892,6.096096369
20,148,-4.273245376,-4.089644206,5.914880876
20,164,-3.826009675,-3.746561562,5.354911164
20,180,-2.205471862,-1.374145859,2.598534775
20,196,-0.277101492,-0.1865557655,0.334048336
20,212,0.612006213,0.7352115376,0.956602117
20,228,0.9854935995,0.9711852228,1.383617856
20,244,1.079151332,-2.464408787,2.690330513
20,260,-2.801924284,-3.037135143,4.13218702
20,276,-4.397870583,-1.149293561,4.54556282
20,292,-2.337421795,-1.681513987,2.87941486
20,308,0.8054598442,-4.215307411,4.291571056
20,324,1.14359567,-3.661489166,3.835924135
20,340,3.144014575,-3.379225759,4.615625026
20,356,6.148254769,-3.680628359,7.165756193
20,372,5.975888189,-1.421129457,6.142544146
20,388,1.15618468,-2.668903315,2.908574895
20,404,-2.070270587,-3.68940539,4.230571171
20,420,-2.578921516,-3.996506698,4.756353853
20,436,-3.671908414,-3.257060988,4.908294783
20,452,-3.401017594,-2.3070415,4.109666794
20,468,-0.7674852509,-1.567796533,1.745571419
20,484,2.272250379,0.5594271604,2.340102676
20,500,0.4347628727,3.217639377,3.246878796
36,20,0.6719886276,0.08915559906,0.677877154
36,36,0.8201548119,0.3272742553,0.883041536
36,52,1.200018217,0.8567460882,1.474468576
36,68,1.17290473,0.910762616,1.484989579
36,84,3.339403856,2.661550459,4.270300804
36,100,0.5871479148,-0.002510316924,0.587153281
36,116,-2.556847965,-2.295554693,3.436137783
36,132,-3.424389682,-3.728797719,5.062645269
36,148,-4.507418277,-4.394971166,6.295442087
36,164,-4.999311788,-5.77589462,7.63898403
36,180,-2.513304418,-0.1893202493,2.520424816
36,196,0.7621611726,0.07926702475,0.766272089
36,212,1.127626532,1.421005156,1.81405547
36,228,3.732698899,-0.7540483059,3.808100566
36,244,2.272879746,-2.457590157,3.347496336
36,260,-0.0918492039,-3.525074824,3.526271231
36,276,-0.416422235,-3.036754968,3.065173439
36,292,-0.1203065935,-3.948218886,3.950051398
36,308,0.1193395115,-3.83511007,3.836966402
36,324,-0.5186874081,-3.389934327,3.429386442
36,340,2.140193285,-2.795559752,3.520735949
