x [px],y [px],u [px/frame],v [px/frame],magnitude
20,20,-0.6480428747,1.050639323,
20,36,-1.42544327,-0.0353929406,
20,52,-2.017393736,-1.688814144,
20,68,-1.808946993,-0.2631057691,
20,84,-0.4257538689,-0.09087236217,
20,100,1.71887176,0.245466768,
20,116,1.59810346,1.268017062,
20,132,1.17968405,3.608688358,
20,148,0.3089787144,1.797412525,
20,164,0.05091009157,2.176462106,
20,180,0.394152821,3.297907573,
20,196,2.41587643,2.823643304,
20,212,3.265306456,4.10292509,
20,228,4.171691903,2.65481297,
20,244,0.7020534574,2.066299332,
20,260,0.7096577412,1.480578635,
20,276,1.353921539,0.9853281299,
20,292,-1.132443845,0.2089481607,
20,308,-2.542545215,0.9202112781,
20,324,-1.931522975,0.7049835232,
20,340,-2.141586522,0.7040396235,
20,356,-2.603898995,0.6541608929,
20,372,-4.694063124,0.219241408,
20,388,-3.310173259,-0.3765176037,
20,404,0.378840661,-1.481578091,
20,420,-1.008974396,-2.616967137,
20,436,-0.2326612952,-1.993429467,
20,452,1.264665811,-1.057741476,
20,468,1.576465565,-0.7409536747,
20,484,0.6869902162,-1.110455314,
20,500,-0.8799172671,-0.08415335433,magnitude
36,20,0.1293575208,2.136671587,1.234423977
36,36,-1.6108932,0.5319959989,1.425882596
36,52,-1.848901083,-0.6366365472,2.630963835
36,68,-2.572495337,0.497031082,1.827980818
36,84,-0.69222829,-1.937576214,0.435343707
36,100,0.1074705043,-2.611504614,1.736310474
36,116,-0.1528280779,1.1544632,2.040049494
36,132,0.08667459844,1.194185751,3.796615088
36,148,0.03091282085,0.6422070954,1.823776201
36,164,-0.1944840652,0.3988945959,2.177057449
36,180,-0.2047418931,0.3913493086,3.321377848
36,196,0.4816005683,-1.508316158,3.716102856
36,212,1.461784351,-0.6623058631,5.243683872
36,228,1.733642454,-0.2424647299,4.944799818
36,244,2.499086688,0.7063127587,2.182308866
36,260,2.030662021,1.88644049,1.641866987
