x [px],y [px],u [px/frame],v [px/frame],magnitude
20,20,2.659083561,3.371740007,4.294107132
20,36,3.214966208,4.290813565,5.361631167
20,52,4.526700096,6.582220057,7.988531444
20,68,2.982320034,4.787436817,5.640370915
20,84,1.597917116,2.632283035,3.079326726
20,100,-2.041032807,-2.513341814,3.237700109
20,116,-3.082404468,-1.060965143,3.259887167
20,132,-5.609640864,1.352407712,5.770361968
20,148,-4.702363159,2.852103202,5.499701079
20,164,-2.787503445,5.626473909,6.279122877
20,180,-2.0369562,2.59329145,3.297628103
20,196,-0.4476078822,0.5747310817,0.728470063
20,212,0.4761757236,-0.2476127698,0.536707931
20,228,0.3623670651,-0.8363117837,0.911442422
20,244,0.6829197009,-2.521466677,2.612311911
20,260,0.810607874,-3.453302204,3.54716524
20,276,0.1144361573,-2.970842731,2.973045941
20,292,-0.0505882978,-2.605696158,2.606187185
20,308,0.7211992817,-4.129149167,4.191658532
20,324,1.328855222,-3.128365814,3.398901126
20,340,2.266566218,-1.932534454,2.978592258
20,356,0.6342747264,1.768904951,1.879183108
20,372,0.8869079639,2.359227154,2.520428238
20,388,1.576644584,-0.9373873345,1.834258204
20,404,2.948134656,-0.480580069,2.987047899
20,420,-3.307536517,-4.977853637,5.976522789
20,436,-3.672653161,-2.622125185,4.512640217
20,452,-3.779028036,-1.660830155,4.127881987
20,468,-1.893388453,-4.243640867,4.646870737
20,484,1.921725177,-0.09442154139,1.92404342
20,500,4.583323879,3.690056751,5.884163203
36,20,2.103200913,2.45266645,3.230948281
36,36,2.459114967,2.91848063,3.816382529
36,52,3.038126429,4.106905036,5.108510661
36,68,2.822342889,5.147807358,5.870735897
36,84,0.7628333361,1.596727322,1.76959115
36,100,1.714191959,2.15786448,2.755872491
36,116,-1.596539732,-2.021961329,2.576289334
36,132,-4.704086738,-1.529329473,4.946441213
36,148,-5.709945169,1.577427984,5.923829241
36,164,-4.567919781,3.057792008,5.496906684
36,180,-2.875757273,1.57866936,3.280575687
36,196,0.2179568299,-0.6214854354,0.658596482
36,212,1.513767988,-0.4812576072,1.588427652
36,228,4.105477257,-0.5107040271,4.137120026
36,244,2.225188986,-1.592248877,2.736187587
36,260,1.7489697,-1.670355603,2.418467046
36,276,-0.02572880286,-2.883247452,2.883362246
36,292,-0.5495908978,-2.781213846,2.834995699
36,308,-0.4529544683,-3.983199397,4.008870812
36,324,1.330345429,-2.769745944,3.072671729
36,340,3.354698166,-0.4153272212,3.380310117
36,356,3.573476256,0.01820640914,3.573522635
36,372,1.579019003,-0.37424151,1.622762373
36,388,0.1052275356,-3.490862189,3.492447803
36,404,-0.09155910984,-2.717262252,2.718804373
36,420,-2.810708727,-2.335040721,3.654107103
36,436,-3.93139493,-1.227691764,4.118627582
36,452,-4.445339465,-2.878926301,5.296155172
36,468,-2.400585998,-2.47691198,3.449334152
36,484,0.6558393526,-0.6141967101,0.898533725
36,500,2.279355038,1.550079004,2.756484048
52,20,1.191404212,1.067778712,1.599873549
52,36,1.480166319,0.8235374696,1.693843646
52,52,2.344347765,1.779112101,2.942992747
52,68,1.691769535,3.643380961,4.017002488
52,84,1.569878766,3.060052547,3.439250053
52,100,1.416314295,2.443827007,2.824577247
52,116,-0.1870451343,0.5190341815,0.551708586
52,132,-2.553767981,1.15561294,2.803064781
52,148,-4.664294006,1.457084392,4.886587101
52,164,-5.702391219,0.2685483962,5.708711225
52,180,-1.429601385,-0.2480274495,1.450957524
52,196,0.8218656818,-0.5303874651,0.978148282
52,212,2.188715779,-0.1784590048,2.195979139
52,228,3.2118555,-0.8703369245,3.327687202
52,244,2.363389289,-1.6664692,2.891838261
52,260,0.6497321918,-2.652565006,2.730980233
52,276,-1.124484421,-3.20098846,3.392755861
52,292,-1.610796193,-3.566006202,3.912935549
52,308,-1.004965852,-2.933057086,3.100448392
52,324,0.4764547035,-1.230686836,1.319696621
52,340,3.166492701,-0.1825077263,3.171747956
52,356,3.554116113,-0.09443712812,3.555370546
52,372,1.750464255,-0.3835374146,1.791989413
52,388,-0.6870434155,-0.2424900722,0.728580874
52,404,-2.185558939,-0.8783316994,2.355447824
52,420,-2.317956548,-0.4343926551,2.358308618
52,436,-3.432930027,-1.000731355,3.575817643
52,452,-3.484662231,-1.372475398,3.745204879
52,468,-2.647315948,-1.277133251,2.939277304
52,484,-0.2925138536,-0.2408011736,0.378879347
52,500,1.838449315,0.3161492131,1.86543459
68,20,-0.009154596866,-0.07286778463,0.073440593
68,36,0.8905346474,-0.2526573537,0.925682287
68,52,0.7005372408,-0.04605867645,0.702049733
68,68,1.104266463,1.649144401,1.984711988
68,84,2.259818148,3.553593755,4.21127138
68,100,3.495076443,4.15987096,5.433238974
68,116,0.7354911397,3.927958259,3.99622363
68,132,-0.7883217613,3.566178596,3.652270661
68,148,-3.253594418,1.38265378,3.535195626
68,164,-4.282777767,0.0583424499,4.283175136
68,180,-3.494018035,-0.1772951077,3.498513339
68,196,0.2819392165,-0.3118839411,0.420429916
68,212,3.377525813,-0.268168803,3.388155121
68,228,4.769712597,-0.9103927661,4.855818494
68,244,2.611958395,-3.657931275,4.494751147
68,260,-0.4204510688,-3.9133655,3.935887275
68,276,-3.003920995,-2.716679916,4.050171738
68,292,-2.564177319,-3.001926968,3.947983136
68,308,-1.324213933,-2.493465649,2.823280624
68,324,0.4215398473,-1.171734843,1.245254346
68,340,0.06986178343,-0.9862513292,0.988722587
68,356,2.197495938,0.2300223173,2.209501904
68,372,1.701174729,-0.07222666794,1.7027073
68,388,-0.009961499597,2.796043182,2.796060927
68,404,-1.866013086,1.581690194,2.446170212
68,420,-3.247040304,1.850707986,3.737431041
68,436,-3.578908988,0.8705703491,3.683270595
68,452,-3.734871152,0.0103404076,3.734885466
68,468,-2.386094222,1.547366676,2.843903878
68,484,-1.029944533,1.516036249,1.832798857
68,500,0.2894336219,0.5841039414,0.651881305
84,20,-2.10940265,-1.033724712,2.349077759
84,36,-1.266220967,-0.9411866007,1.577703316
84,52,-0.3226263109,-0.9956215937,1.046589745
84,68,0.5036345957,-0.3745429684,0.627638623
84,84,0.7723458449,0.8635171083,1.158524881
84,100,0.5541382673,1.92984743,2.007829754
84,116,2.007302742,3.976523884,4.454436721
84,132,-0.1182269684,4.138278474,4.13996695
84,148,-2.417396352,2.285090348,3.326476067
84,164,-2.81396268,2.284802392,3.624735568
